title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,trove_id,trove_url
The art of the Armenian duduk,2001,"Akopian, Khachik",,https://trove.nla.gov.au/work/34825587,34825587,https://trove.nla.gov.au/work/34825587
"Igraet Vache Ovsepi︠a︡n, duduk : Armenian folk melodies",1978,"Ovsepi︠a︡n, Vache",,https://trove.nla.gov.au/work/18591339,18591339,https://trove.nla.gov.au/work/18591339
Duduk / Vatche Hovsepian,1993,"Hovsepian, Vatche",,http://www.naxosmusiclibrary.com,236406738,https://trove.nla.gov.au/work/236406738
The music of Armenia,1996,"Dabaghyan, Gevorg",,http://www.naxosmusiclibrary.com,32068247,https://trove.nla.gov.au/work/32068247
Armenian rhapsody,2010-2011,"Chaushian, Alexander, 1977-",,http://UWyoming.naxosmusiclibrary.com/catalogue/item.asp?cid=BIS-CD-1948,158596134,https://trove.nla.gov.au/work/158596134
Komitas the Armenian,2015,Australian Broadcasting Corporation. Radio National,"Komitas was a giant of Armenian music and while his musical legacy would always have been immense, the Armenian genocide of 1915 meant Komitas work was virtually the means of cultural survival of the nation. We explore the continued importance of Komitas music to Armenians today.",http://www.abc.net.au/radionational/image/6128646-1x1-700x700.jpg,192779645,https://trove.nla.gov.au/work/192779645
"Esprit dArménie : Armenian spirit / Hespèrion XXI, Jordi Savall, conductor",2012,"Mkhitʻar, Ayrivanetsʻi, active 13th century",,http://www.naxosmusiclibrary.com,172505552,https://trove.nla.gov.au/work/172505552
Armenian requiem / Ian Krouse,2015-2019,"Krouse, Ian, 1956-",,http://www.naxosmusiclibrary.com,236406639,https://trove.nla.gov.au/work/236406639
Gaguik Mouradian Armenian Troubadours,1998,Australian Broadcasting Corporation. Radio National,"Mediaeval Western Europe was not alone in having courtly/troubadour musical traditions. Armenia’s troubadours proved more enduring than did their Western European counterparts. The Armenian music is distinctive and beautiful. On Goussan:Armenian Troubadours kamancha virtuoso and scholar Gaguik Mouradian leads an ensemble of refined players of plucked, bowed and blown instruments, with superb singing from their lead vocalist Armen Badalian.",http://www.abc.net.au/radionational/image/3699866-1x1-80x80.jpg,189347519,https://trove.nla.gov.au/work/189347519
Armenian songs for children / Isabel Bayrakdarian,2021,"Avanesov, Artur, 1980-",,http://www.naxosmusiclibrary.com,249132986,https://trove.nla.gov.au/work/249132986
Âmes arméniennes : Hay hoginer = Armenian souls,2022-2023,"Asatryan, Helbert",,http://www.naxosmusiclibrary.com,255055531,https://trove.nla.gov.au/work/255055531
Avantagan / Chookasian Armenian Concert Ensemble,2001,Chookasian Armenian Concert Ensemble,,https://trove.nla.gov.au/work/183811252,183811252,https://trove.nla.gov.au/work/183811252
"Ode-elegy to Varouzhan : for mezzo-soprano, duduk, violoncello and piano / Anna Hakobjanyan ; lyrics by Daniel Varouzhan",2017,"Hakobjanyan, Anna, 1978-",,https://trove.nla.gov.au/work/236907115,236907115,https://trove.nla.gov.au/work/236907115
Armenia / Djivan Gasparyan,1998-1999,"Gasparian, Djivan",,https://trove.nla.gov.au/work/35250747,35250747,https://trove.nla.gov.au/work/35250747
"Armenian rhapsody / Alexander Chaushian, cello; Armenian Philharmonic orchestra; Eduard Topchjan",2011,"Chaushian, Alexander",,https://trove.nla.gov.au/work/155865128,155865128,https://trove.nla.gov.au/work/155865128
"Shvi, Armenian flute / Norik Manoukian",1995,"Manoukian, Norik, 1955-",,https://trove.nla.gov.au/work/192586487,192586487,https://trove.nla.gov.au/work/192586487
"Cello and Orchestra Music - KHACHATURIAN, A.I. / ZAKARIAN, S. / SHARAFYAN, V. (Armenian Rhapsody) (Chaushian, Armenian Philharmonic, Topchian)",2011,"Zakarian, Suren",,https://trove.nla.gov.au/work/264339524,264339524,https://trove.nla.gov.au/work/264339524
Classical music for the Armenian kanun,2007,"Hovhannisyan, Karine, 1966-",,https://trove.nla.gov.au/work/38270081,38270081,https://trove.nla.gov.au/work/38270081
Echoes / Ararat Petrossian,1996,"Petrossian, Ararat",,https://trove.nla.gov.au/work/192724636,192724636,https://trove.nla.gov.au/work/192724636
Passage to Armenia / Chookasian Armenian Concert Ensemble,2005,Chookasian Armenian Concert Ensemble,,https://trove.nla.gov.au/work/185545613,185545613,https://trove.nla.gov.au/work/185545613
Andrew Cronshaw: The Unbroken Surface of Snow,1998,Australian Broadcasting Corporation. Radio National,"Andrew Cronshaws music is a lovely marriage of various venerable traditions, meticulous construction and spontaneous invention. What I do is a series of secret gardens. You see an interesting thread hanging and you pull it to see whats at the end of it.",http://www.abc.net.au/radionational/image/3699866-1x1-80x80.jpg,189347924,https://trove.nla.gov.au/work/189347924
The music of Armenia,1995-1997,"Parsons, David, composer",,http://www.naxosmusiclibrary.com,15338037,https://trove.nla.gov.au/work/15338037
Levon Eskenian/ Gurdjieff Folk Instruments Ensemble: <em>Music of Georges I. Gurdjieff</em>,1998,Australian Broadcasting Corporation. Radio National,A prominent Armenian musician is shedding lovely new light on music hitherto heard on the piano. It is much more eloquently rendered by Levon Eskenians Gurdjieff Folk Instruments Ensemble. Their debut albums beauty and interest do not depend on the listeners attitude to the musics author.,http://www.abc.net.au/radionational/image/3699866-1x1-80x80.jpg,189347946,https://trove.nla.gov.au/work/189347946
Black rock / Djivan Gasparian & Michael Brook,1998,"Gasparian, Djivan",,https://trove.nla.gov.au/work/20004414,20004414,https://trove.nla.gov.au/work/20004414
"Shoghaken Ensemble: ""Arshile Gorky""",2012,Australian Broadcasting Corporation. Radio National,"Haunting ancient Armenian music, vitally connected to “a preeminent American Modernist.”",http://www.abc.net.au/radionational/image/3699866-1x1-80x80.jpg,189348100,https://trove.nla.gov.au/work/189348100
Symphonies nos 3 and 4 / Avet Rubeni Terterian,2019,"Aleksanyan, Tigran",,http://www.naxosmusiclibrary.com,238760105,https://trove.nla.gov.au/work/238760105
Duduki of Tbilisi : Eldar Shoshitashvili and his students,2012-2014,Kanopy (Firm),,http://nhfpl.kanopystreaming.com/node/96484,211299096,https://trove.nla.gov.au/work/211299096
"Music of Georges I. Gurdjieff / The Gurdjieff Folk Instruments Ensemble, Levon Eskenian conductor",2011,Gurdjieff Folk Instruments Ensemble,,https://trove.nla.gov.au/work/158675170,158675170,https://trove.nla.gov.au/work/158675170
Ask me no questions / Djivan Gasparyan,1994,"Gasparian, Djivan",,https://trove.nla.gov.au/work/34905793,34905793,https://trove.nla.gov.au/work/34905793
The soul of Armenia / Djivan Gasparyan,2008,"Gasparian, Djivan",,https://trove.nla.gov.au/work/37248444,37248444,https://trove.nla.gov.au/work/37248444
SANS Live (debut from Andrew Cronshaws international quartet),2012,Australian Broadcasting Corporation. Radio National,"What I do is a series of secret gardens...You see an interesting thread hanging and you pull it to see what’s at the end of it. (says SANS leader, Andrew Cronshaw)",http://www.abc.net.au/radionational/image/3699866-1x1-80x80.jpg,191108143,https://trove.nla.gov.au/work/191108143
"Sparks in the darkness : old Balkan love songs / Barbara Berry, Boris Bunjac",1995,"Berry, Barbara, 1962-",,http://www.naxosmusiclibrary.com,218366516,https://trove.nla.gov.au/work/218366516
Nuit dombrelle / Didier Malberbe and Eric Lohrer,2010-2011,"Malherbe, Didier",,https://trove.nla.gov.au/work/160238573,160238573,https://trove.nla.gov.au/work/160238573
Endless vision / Hossein Alizadeh & Djivan Gasparyan,2005,"Alizadeh, Hossain, 1951-",,https://trove.nla.gov.au/work/20759224,20759224,https://trove.nla.gov.au/work/20759224
"Istanbul : ottoman, arménien & séphardie",2009,"Dimitrie Cantemir, Voivode of Moldavia, 1673-1723",,https://trove.nla.gov.au/work/177848831,177848831,https://trove.nla.gov.au/work/177848831
Arménié : chants liturgiques du moyen âge et musique instrumentale,1987,"Atʻaian, Ṛ. A",,https://trove.nla.gov.au/work/20931755,20931755,https://trove.nla.gov.au/work/20931755
Arménié : chants liturgiques du Moyen-Age,1982,"Atʻaian, Ṛ. A",,https://trove.nla.gov.au/work/34854825,34854825,https://trove.nla.gov.au/work/34854825
Le voyage en Armenie / composée et interprétée par Arto Tuncboyaciyan,2006,"Guédiguian, Robert, 1953-",,https://trove.nla.gov.au/work/37262417,37262417,https://trove.nla.gov.au/work/37262417
Arménié : musique des achough,1983,"Atʻaian, Ṛ. A",,https://trove.nla.gov.au/work/19804968,19804968,https://trove.nla.gov.au/work/19804968
"SANS Live (Andrew Cronshaws international quartet, revisited)",2015,Australian Broadcasting Corporation. Radio National,"What I do is a series of secret gardens...You see an interesting thread hanging and you pull it to see what’s at the end of it. (says SANS leader, Andrew Cronshaw)",http://www.abc.net.au/radionational/image/5458848-1x1-700x700.jpg,192511188,https://trove.nla.gov.au/work/192511188
Haut-Karabagh : musiques du front : Armenie,1993-1994,"Hayon, Richard",,https://trove.nla.gov.au/work/251694909,251694909,https://trove.nla.gov.au/work/251694909
Istanbul,2009,Hespèrion XXI (Musical group),,https://trove.nla.gov.au/work/37377797,37377797,https://trove.nla.gov.au/work/37377797
Apricots from Eden / Djivan Gasparyan,1996,"Gasparian, Djivan",,https://trove.nla.gov.au/work/37262370,37262370,https://trove.nla.gov.au/work/37262370
One world / Jesse Cook,2015,"Cook, Jesse",,https://trove.nla.gov.au/work/197892508,197892508,https://trove.nla.gov.au/work/197892508
double feature: Daramad; Vardan Grigoryan,2012,Australian Broadcasting Corporation. Radio National,"A few adjectives equally-apropos to our two co-featured new releases: hushed, exuberant, traditional, novel, structured, free, Persian, Australian, Armenian",http://www.abc.net.au/radionational/image/3699866-1x1-80x80.jpg,189348030,https://trove.nla.gov.au/work/189348030
Highland revolution / Gregjam ; with Norik Manoukian,2019,Gregjam (Musical group),,https://trove.nla.gov.au/work/253295483,253295483,https://trove.nla.gov.au/work/253295483
"Desert lands / Didier Malherbe, Loy Ehrlich",1998,"Ehrlich, Loy",,https://trove.nla.gov.au/work/250365823,250365823,https://trove.nla.gov.au/work/250365823
With malice toward none / Apollo Chamber Players,2021,"Z, Pamela, 1956-.",,http://www.naxosmusiclibrary.com,249406449,https://trove.nla.gov.au/work/249406449
"The JVC video anthology of world music and dance : Azerbaijan, Armenia, Georgia, Dagestan, Russian gypsies / producer, Ichikawa Katsumori (JVC) ; director, Nakagawa Kunihiko (JVC), Ichihashi Yuji (JVC) ; a production of JVC, Victor Company of Japan, Ltd",1989,Nihon Bikutā Kabushiki Kaisha,,http://www.aspresolver.com/aspresolver.asp?MARC;3953633,239068742,https://trove.nla.gov.au/work/239068742
"Temps darménie / Deleuze, Fafchamps, Komitas, Ledoux",2022-2023,"Mekhitarian, Laurence",,https://trove.nla.gov.au/work/259652040,259652040,https://trove.nla.gov.au/work/259652040
The arrival / Aragats,2015,Aragats (Musical group),,http://pennstate.naxosmusiclibrary.com/jazz/catalogue/item.asp?cid=DGCD21096,228644795,https://trove.nla.gov.au/work/228644795
Sans souci / Rusan Filiztek,2021,"Filiztek, Rusan",,https://trove.nla.gov.au/work/257135303,257135303,https://trove.nla.gov.au/work/257135303
Global meditation,1975-1992,,,https://trove.nla.gov.au/work/30835470,30835470,https://trove.nla.gov.au/work/30835470
"The JVC video anthology of world music and dance. Volume 25, Soviet Union III : Azerbaijan, Armenia, Georgia, Dagestan, Russian gypsies / producer, Ichikawa Katsumori (JVC) ; director, Nakagawa Kunihiko (JVC), Ichihashi Yuji (JVC) ; a production of JVC, Victor Company of Japan, Ltd",1989,Nihon Bikutā Kabushiki Kaisha,,https://trove.nla.gov.au/work/264173981,264173981,https://trove.nla.gov.au/work/264173981
New era / Tigran Hamasyan Trio,2009,Tigran Hamasyan Trio,,https://trove.nla.gov.au/work/191654507,191654507,https://trove.nla.gov.au/work/191654507
La musique de la terre vue du ciel : Te amo : musique originale = The music of Earth from above : original music / Armand Amar,2004,"Amar, Armand",,http://libproxy.kcl.ac.uk/login?url=http://KCL.NaxosMusicLibrary.com/catalogue/item.asp?cid=V4994,218057402,https://trove.nla.gov.au/work/218057402
World passion / Tigran Hamasyan,2004-2009,"Hamasyan, Tigran, 1987-",,https://trove.nla.gov.au/work/218368728,218368728,https://trove.nla.gov.au/work/218368728
"Songs from a world apart / Lévon Minassian, Armand Amar",2005,"Minassian, Lévon",,https://trove.nla.gov.au/work/35393821,35393821,https://trove.nla.gov.au/work/35393821
Every day is a new life / music by Arto Tuncboyaciyan,2000,"Tuncboyaci, Arto",,https://trove.nla.gov.au/work/37262345,37262345,https://trove.nla.gov.au/work/37262345
"Istanbul : Ottoman, Arménien & Sépharade / Dimitrie Cantemir",2009,"Dimitrie Cantemir, Voivode of Moldavia, 1673-1723",,https://trove.nla.gov.au/work/36683017,36683017,https://trove.nla.gov.au/work/36683017
"La sublime porte : voix dIstanbul, 1430-1750",2010-2011,Hespèrion XXI (Musical group),,http://www.naxosmusiclibrary.com,161084953,https://trove.nla.gov.au/work/161084953
